Date,Open,High,Low,Close,Adj Close,Volume
2015-06-01,1138.000000,1138.000000,1138.000000,1138.000000,1138.000000,6800
2015-07-01,1138.000000,1138.000000,1138.000000,1138.000000,1138.000000,0
2015-08-01,1138.000000,1138.000000,1138.000000,1138.000000,1138.000000,0
2015-09-01,1138.000000,1138.000000,1138.000000,1138.000000,1138.000000,0
2015-10-01,1138.000000,1293.000000,1138.000000,1293.000000,1293.000000,33468
2015-11-01,1293.000000,1355.000000,1275.199951,1327.150024,1327.150024,261564
2015-12-01,1337.000000,1384.550049,1317.000000,1378.500000,1378.500000,10467
2016-01-01,1378.500000,1378.500000,1206.099976,1228.500000,1228.500000,16445
2016-02-01,1228.500000,1255.000000,991.250000,1244.500000,1244.500000,116424
2016-03-01,1243.000000,1295.000000,1202.420044,1277.300049,1277.300049,44537
2016-04-01,1304.209961,1348.449951,1277.300049,1299.400024,1299.400024,17330
2016-05-01,1315.000000,1555.300049,1310.000000,1532.500000,1532.500000,147053
2016-06-01,1547.000000,1593.000000,1448.000000,1475.000000,1475.000000,41751
2016-07-01,1464.800049,1563.500000,1464.800049,1555.000000,1555.000000,46532
2016-08-01,1529.000000,1536.000000,1382.349976,1492.000000,1492.000000,87222
2016-09-01,1422.000000,1464.739990,1360.000000,1386.000000,1386.000000,50989
2016-10-01,1354.859985,1445.000000,1295.000000,1423.160034,1423.160034,164424
2016-11-01,1451.969971,1610.569946,1404.000000,1505.000000,1505.000000,164416
2016-12-01,1425.550049,1472.000000,1411.900024,1415.000000,1415.000000,59378
2017-01-01,1415.000000,1689.989990,1415.000000,1647.000000,1647.000000,225880
2017-02-01,1647.000000,1672.300049,1600.000000,1630.500000,1630.500000,89022
2017-03-01,1650.000000,1650.000000,1535.400024,1547.969971,1547.969971,29419
2017-04-01,1547.969971,1605.699951,1547.969971,1605.699951,1605.699951,9528
2017-05-01,1605.699951,1696.199951,1570.000000,1671.400024,1671.400024,55885
2017-06-01,1671.400024,1688.000000,1531.000000,1561.199951,1561.199951,49140
2017-07-01,1561.199951,1615.000000,1561.199951,1604.000000,1604.000000,204492
2017-08-01,1628.500000,1706.400024,1573.500000,1705.219971,1705.219971,93383
2017-09-01,1707.099976,1730.000000,1667.180054,1690.199951,1690.199951,82414
2017-10-01,1711.800049,1956.400024,1705.050049,1956.400024,1956.400024,27744
2017-11-01,1956.400024,2084.489990,1891.000000,1891.000000,1891.000000,30103
2017-12-01,1891.000000,2035.000000,1880.880005,2035.000000,2035.000000,27394
2018-01-01,2035.000000,2137.199951,1986.000000,2035.000000,2035.000000,28778
2018-02-01,2083.000000,2220.000000,1930.000000,2220.000000,2220.000000,46454
2018-03-01,2300.000000,2393.000000,2090.000000,2090.000000,2090.000000,34054
2018-04-01,2110.000000,2330.000000,2110.000000,2265.000000,2265.000000,29145
2018-05-01,2265.000000,2610.000000,2265.000000,2610.000000,2610.000000,49671
2018-06-01,2598.000000,2910.370117,2595.000000,2716.699951,2716.699951,62935
2018-07-01,2716.699951,2814.000000,2543.000000,2559.000000,2559.000000,39345
2018-08-01,2585.000000,2955.000000,2566.000000,2896.000000,2896.000000,88446
2018-09-01,2896.000000,3025.000000,2850.000000,3016.459961,3016.459961,14366
2018-10-01,2990.000000,3022.000000,2596.500000,2801.000000,2801.000000,184815
2018-11-01,2776.000000,2922.500000,2453.830078,2911.649902,2911.649902,136104
2018-12-01,2919.010010,2969.000000,2457.159912,2600.000000,2600.000000,117495
2019-01-01,2600.000000,2950.679932,2591.399902,2905.000000,2905.000000,159946
2019-02-01,2917.000000,3210.000000,2917.000000,3135.000000,3135.000000,37068
2019-03-01,3163.000000,3300.000000,2950.000000,3069.010010,3069.010010,36288
2019-04-01,3099.570068,3189.000000,2900.000000,3143.000000,3143.000000,12848
2019-05-01,3143.000000,3143.000000,2892.000000,2899.000000,2899.000000,15802
2019-06-01,2935.000000,3200.000000,2805.000000,2881.000000,2881.000000,125867
2019-07-01,3040.000000,3145.000000,2897.000000,2953.370117,2953.370117,31824
2019-08-01,2890.000000,3136.010010,2721.000000,3121.479980,3121.479980,154289
2019-09-01,3121.479980,3140.949951,2893.500000,2935.000000,2935.000000,37694
2019-10-01,2922.459961,3036.000000,2700.000000,2998.020020,2998.020020,48634
2019-11-01,3050.000000,3222.189941,3000.000000,3161.000000,3161.000000,25966
2019-12-01,3182.409912,3182.409912,2979.000000,2985.000000,2985.000000,71049
2020-01-01,3052.000000,3487.000000,3052.000000,3445.000000,3445.000000,18046
2020-02-01,3445.000000,3635.000000,3230.000000,3300.000000,3300.000000,46213
2020-03-01,3400.000000,3861.000000,2832.000000,3441.000000,3441.000000,103028
2020-04-01,3384.979980,3979.989990,3194.330078,3900.000000,3900.000000,79658
2020-05-01,3900.000000,4367.000000,3781.010010,3870.000000,3870.000000,68692
2020-06-01,3876.459961,4340.000000,3700.010010,4300.000000,4300.000000,45687
2020-07-01,4250.000000,4567.790039,4110.000000,4280.000000,4280.000000,45472
2020-08-01,4517.500000,6156.830078,4230.000000,5957.000000,5957.000000,89131
2020-09-01,5905.000000,6150.419922,5061.529785,5315.060059,5315.060059,47358
