Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,1012.369995,1136.609985,951.185974,1113.969971,1113.969971,835
2005-02-01,1095.869995,1095.869995,1087.079956,1087.079956,1087.079956,3890
2005-03-01,1059.160034,1064.079956,1019.570007,1039.339966,1039.339966,5329
2005-04-01,null,null,null,null,null,null
2005-05-01,1533.209961,1533.209961,1533.209961,1533.209961,1533.209961,778
2005-06-01,1624.729980,1719.849976,1624.729980,1719.849976,1719.849976,2333
2005-07-01,1638.469971,3533.899902,1606.729980,1606.729980,1606.729980,22843
2005-08-01,1606.729980,1606.729980,1590.790039,1600.339966,1600.339966,266087
2005-09-01,1682.400024,1783.949951,1682.400024,1783.410034,1783.410034,8071
2005-10-01,1705.969971,1981.910034,1705.969971,1981.910034,1981.910034,8032
2005-11-01,2096.850098,2333.600098,2096.850098,2189.820068,2189.820068,4346
2005-12-01,2249.639893,2359.919922,2227.270020,2267.649902,2267.649902,1613
2006-01-01,2422.179932,3054.080078,2291.070068,2336.830078,2336.830078,16073
2006-02-01,2094.770020,2181.560059,1870.310059,1999.079956,1999.079956,10073
2006-03-01,1967.650024,2205.500000,1881.670044,2205.500000,2205.500000,13224
2006-04-01,2177.469971,2500.939941,2023.459961,2407.600098,2407.600098,5220
2006-05-01,2210.870117,2280.280029,2075.639893,2189.620117,2189.620117,2878
2006-06-01,2213.300049,2857.159912,2209.639893,2360.520020,2360.520020,1651
2006-07-01,2408.810059,2418.580078,2178.679932,2178.679932,2178.679932,5212
2006-08-01,2147.620117,2147.620117,2088.500000,2105.459961,2105.459961,1099
2006-09-01,2164.590088,2334.260010,2164.590088,2234.000000,2234.000000,2966
2006-10-01,2332.719971,2697.260010,2332.719971,2697.260010,2697.260010,11534
2006-11-01,2588.389893,2874.639893,2588.389893,2745.590088,2745.590088,3469
2006-12-01,2668.520020,2668.520020,2538.030029,2594.550049,2594.550049,2839
2007-01-01,2738.459961,2874.399902,2730.659912,2854.729980,2854.729980,11326
2007-02-01,2809.860107,2809.860107,2313.699951,2313.699951,2313.699951,11698
2007-03-01,2313.699951,3084.929932,2313.699951,2590.979980,2590.979980,3315
2007-04-01,2658.010010,2768.340088,2633.020020,2707.379883,2707.379883,7409
