cve_ent,poblacion,nombre,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020
"09013",418060,"XOCHIMILCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,1,0,0,1,4,5,1,2,3,6,0,4,1,10,8,4,5,8,5,13,13,11,6,11,6,8,37,14,25,18,32,17,12,23,26,20,34,22,15,13,49,28,25,42,56,35,28,44,43,53,42,65,55,29,61,60,54,46,68,25,23,70,57,69,42,76,27,31,82,52,48,78,70,66,29,85,67,79,63,77,35,20,54,46,69,51,45,38,32,65,54,46,40,63,41,23,44,40,46,48,51,36,20,63,53,42,58,52,34,25,58,67,79,71,79,51,25,70,38,35,0,0
"09002",408441,"AZCAPOTZALCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,2,3,2,3,3,4,3,4,9,2,2,1,6,7,6,6,6,9,6,7,12,12,18,9,5,4,13,20,20,12,17,12,7,24,23,26,24,16,17,7,33,42,35,39,51,17,24,39,47,56,56,60,34,23,51,52,70,56,48,36,22,59,49,59,48,54,32,28,59,65,53,62,55,27,24,67,52,64,53,38,12,21,49,66,75,57,49,27,15,54,59,61,53,63,22,17,61,52,55,59,56,13,15,68,70,35,35,50,23,13,52,50,52,51,49,20,8,52,36,25,1,0
"09003",621952,"COYOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,2,1,1,1,0,3,4,4,2,1,2,5,3,2,3,3,4,8,5,11,4,16,15,8,20,9,19,18,17,15,8,31,26,19,31,26,21,7,24,36,37,40,16,19,16,49,36,44,55,57,19,19,53,63,52,38,55,39,15,78,61,57,54,55,22,22,68,67,64,60,66,27,21,76,50,65,59,75,42,16,60,59,40,60,44,19,22,83,67,67,62,59,21,11,43,54,50,48,48,17,23,89,70,61,69,55,10,6,57,63,62,48,57,17,13,57,83,98,81,80,56,15,52,47,8,0,0
"09004",199809,"CUAJIMALPA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,7,2,3,11,4,6,4,0,0,0,5,2,3,7,1,1,3,1,1,1,2,0,0,3,2,1,3,6,3,1,6,2,6,5,3,6,3,5,2,7,9,7,2,1,6,6,12,7,8,5,3,6,13,12,9,6,9,6,10,9,13,9,11,5,3,22,15,17,16,15,3,6,24,27,31,28,24,19,5,36,27,17,23,30,3,13,26,31,22,17,15,13,4,17,15,44,16,22,22,3,33,29,20,12,20,6,10,27,40,29,25,29,6,3,39,20,21,36,27,10,5,49,24,15,26,17,8,4,18,12,4,0,0
"09005",1176967,"GUSTAVO A. MADERO",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,1,2,2,4,4,7,7,12,5,8,11,14,11,7,15,20,21,15,14,5,17,43,25,30,23,45,21,23,48,76,48,58,59,25,21,66,64,68,66,48,40,27,109,80,75,98,109,48,47,111,98,122,119,119,61,40,150,144,157,124,107,55,39,155,127,123,110,119,60,48,161,146,166,134,122,49,46,107,138,133,114,110,43,38,129,115,100,80,113,34,32,73,95,90,107,98,28,35,115,97,93,93,75,46,19,107,98,99,72,76,30,23,114,84,117,106,105,56,25,125,36,13,1,0
"09006",393821,"IZTACALCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,2,3,0,4,3,2,2,2,3,3,5,6,2,4,9,9,11,22,15,19,20,17,19,10,34,25,18,15,39,14,11,48,44,33,32,23,18,23,51,25,45,45,45,20,20,63,48,44,57,53,34,18,57,50,45,56,58,20,20,46,51,44,46,42,27,23,51,42,49,48,42,28,14,46,34,28,39,32,27,14,52,48,44,35,29,22,15,31,35,39,42,30,13,15,28,28,35,29,22,9,8,30,42,22,32,21,12,10,43,24,24,38,25,11,8,33,15,7,0,0
"09007",1815551,"IZTAPALAPA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,1,1,5,4,2,4,6,10,5,5,2,7,11,14,15,10,22,19,15,24,21,14,14,50,46,32,56,61,41,53,92,86,87,61,97,59,62,103,114,131,121,81,81,66,126,120,145,116,184,104,76,138,148,172,138,175,117,64,205,194,188,182,155,87,63,146,147,149,135,136,96,87,154,151,138,134,141,79,62,150,144,135,120,155,51,48,119,168,115,136,107,55,21,122,142,111,100,118,47,39,130,126,128,133,136,56,30,130,107,105,107,126,57,28,143,128,141,114,100,62,31,111,87,71,1,0
"09008",245147,"MAGDALENA CONTRERAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,5,2,1,0,0,0,6,1,1,1,1,2,1,2,2,3,4,4,2,2,3,12,4,1,15,1,9,2,6,15,10,39,5,3,8,5,15,12,7,1,6,14,13,7,15,16,3,8,29,12,24,32,17,11,5,30,19,17,41,17,15,4,15,27,32,23,25,16,6,25,18,25,19,20,12,9,27,15,24,17,23,7,10,25,31,24,29,43,18,6,28,46,25,35,22,18,1,28,53,28,36,42,20,10,36,53,54,33,31,12,14,48,31,94,63,61,30,3,37,26,2,1,0
"09009",139371,"MILPA ALTA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,2,3,8,0,3,1,6,5,4,11,6,6,15,11,18,7,12,9,2,15,16,15,11,2,9,5,16,11,18,17,18,9,13,13,16,24,10,25,18,9,25,35,36,39,24,27,7,33,24,27,19,29,24,8,33,36,29,21,34,22,12,41,40,41,30,39,19,23,21,29,24,27,27,18,13,18,32,21,13,29,11,21,23,39,37,22,17,17,15,28,14,34,11,26,22,17,37,42,31,29,34,13,5,31,0,0,0,0
"09010",755537,"ALVARO OBREGON",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,4,0,8,2,5,4,5,2,1,1,2,2,5,4,3,3,5,3,4,7,9,3,2,8,4,8,14,15,5,5,14,25,19,26,24,11,9,22,24,18,27,30,12,18,43,31,33,31,27,14,15,37,38,55,32,35,26,19,43,57,58,57,52,35,29,76,68,55,65,51,39,24,68,63,56,75,64,37,26,62,68,76,62,52,37,39,84,77,72,73,78,34,25,74,98,73,80,59,26,13,59,69,63,67,62,33,18,68,77,62,51,79,27,16,76,97,67,54,74,22,13,85,72,121,100,100,20,9,53,26,3,2,0
