FECHA,SEMANA,00 TOTAL CDMX,Azcapotzalco,Benito Juárez,Coyoacán,Cuajimalpa de Morelos,Cuauhtémoc,Gustavo A. Madero,Iztacalco,Iztapalapa,Magdalena Contreras,Miguel Hidalgo,Milpa Alta,Tlalpan,Tláhuac,Venustiano Carranza,Xochimilco,Álvaro Obregón
2020-03-02,10,3.3119322348433844,-5.528255528255531,-1.48444190693691,-0.4,-1.99100834938986,-0.4,-0.4,-0.4,-0.4,-1.3118664281455,-1.89529489728297,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
2020-03-05,10,-2.158815053288854,-6.41868904513495,-2.9158699808795396,-15.6362261297032,-0.4,-1.1447389054414299,-0.4,-1.52616279069767,-0.761076379450942,-5.882352941176469,-4.68015532393214,-0.4,-0.4,-0.4,-0.4,-2.85035629453682,-0.10764262648008699
2020-03-12,11,1.5227240273648857,-9.276479927421189,-0.0956022944550661,-4.367555303460009,-0.4,-2.03857613297789,-0.4,-0.4,-0.407719488991576,-2.97213622291022,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
2020-03-13,11,-6.604167412125328,-8.93561103810775,-13.9939156888309,-9.962962962962962,-17.379679144384998,-0.4,-0.4,-4.032,-4.4136485384884105,-26.8961807423346,-11.3387594723548,-0.4,-14.6728354263054,-0.4,-0.4,-2.92529252925292,-14.5641838351823
2020-03-14,11,-5.173294293885333,-11.957950065703,-9.94455374709354,-4.75945459223052,-4.8934490923441105,-4.535244411166969,-5.16795865633075,-0.4,-4.1144901610017905,-5.20231213872833,-24.6208112874779,-0.4,-0.4,-0.4,-0.4,-0.4,-3.0286641427798804
2020-03-22,12,-44.06237314038732,-35.3785254824344,-48.3807654563297,-57.3826652963344,-50.847457627118594,-44.002349141095294,-40.7576913297737,-36.8112543962485,-36.456972185925004,-49.561830574488795,-61.5020137408197,-44.7674418604651,-55.957767722473605,-32.5287356321839,-40.2835696413678,-28.5619174434088,-51.148730350665
2020-03-23,13,-50.5230548197369,-40.1474201474201,-60.262632029688795,-65.3223915592028,-62.427745664739895,-42.2422131940414,-42.5034867503487,-42.2187981510015,-32.6884204447011,-60.5247465712582,-65.4473161033797,-0.4,-61.057567074759,-31.775700934579397,-48.1390926378701,-36.12684031710079,-63.2700916648902
2020-03-24,13,-58.46915137143092,-52.9211087420043,-65.556551812476,-72.4166494098157,-64.9404761904762,-53.311173612886705,-51.523947750362794,-48.2629809488233,-43.378249625697606,-60.792430514488494,-73.1007315700619,-42.44186046511629,-61.3577023498695,-49.0,-47.7272727272727,-51.2939958592132,-68.99860083949629
2020-03-27,13,-64.33248649228898,-51.664476565922,-71.68622338113859,-76.6851851851852,-67.37967914438501,-57.920441118550606,-55.209820154153604,-56.832,-49.714684988936796,-66.9176976869285,-78.239311441669,-59.595959595959606,-69.24432694426079,-49.012875536480706,-63.799364502950496,-61.0711071107111,-74.58003169572109
2020-04-03,14,-64.410014193533,-51.3578624616732,-72.51195132551071,-75.037037037037,-71.55080213903742,-61.024025206774304,-57.4079360548102,-52.70399999999999,-47.8164667520671,-59.4405594405594,-79.7081111422958,-56.0606060606061,-68.5833884115444,-47.0386266094421,-59.7367226509306,-59.27092709270929,-74.8811410459588
